record_id,region_index,region_label,corridor_id,corridor_label,source_hub,target_hub,time,day_of_week,hour_of_day,is_weekend,month,demand_index,temp_c,rain_mm,snow_mm,wind_kmh,cloud_cover_pct,visibility_km,incident_count,incident_severity,event_intensity,roadwork_active,school_holiday,transit_disruption_pct,baseline_flow_veh_per_h,observed_flow_veh_per_h,speed_kmh,free_flow_speed_kmh,congestion_level_pct,travel_time_per_10km_min,travel_time_p90_per_10km_min,travel_time_variability_pct
showcase-000010,10,Airport Causeway,C11,Airport Causeway to Harbor Exchange,Airport Causeway,Harbor Exchange,2025-01-01T00:00,Wednesday,0,0,1,0.857,10.48,1.46,0.0,25.15,61.8,13.17,0,0.248,0.0,0,0,8.47,2240,1913,36.45,63.0,42.14,16.46,18.39,11.75
showcase-000011,11,Riverside Freight Belt,C12,Riverside Belt to Industrial Docks,Riverside Belt,Industrial Docks,2025-01-01T00:00,Wednesday,0,0,1,0.747,11.24,0.25,0.0,12.6,42.8,15.36,0,0.354,0.0,0,0,4.86,1825,1280,37.23,55.0,32.31,16.12,17.57,9.01
showcase-000012,0,Old Town Core,C01,Old Town Gate to River Market,Old Town Gate,River Market,2025-01-01T01:00,Wednesday,1,0,1,0.751,12.46,0.33,0.0,18.94,29.0,14.01,1,0.585,0.0,0,0,17.46,1650,1081,24.3,42.0,42.14,24.69,30.53,23.63
showcase-000013,1,North Heights,C02,Old Town Gate to Hill Junction,Old Town Gate,Hill Junction,2025-01-01T01:00,Wednesday,1,0,1,0.681,11.15,1.18,0.0,25.5,43.6,15.17,1,0.418,0.0,0,0,15.6,1520,966,30.86,48.0,35.71,19.44,22.85,17.53
showcase-000014,2,Harbor Belt,C03,River Market to Harbor Exchange,River Market,Harbor Exchange,2025-01-01T01:00,Wednesday,1,0,1,0.811,11.52,0.18,0.0,19.84,59.0,14.48,1,0.573,0.0,0,0,18.03,2140,1664,30.73,54.0,43.09,19.52,23.18,18.77
showcase-000015,3,Harbor Belt,C04,Hill Junction to Harbor Exchange,Hill Junction,Harbor Exchange,2025-01-01T01:00,Wednesday,1,0,1,0.781,12.76,0.29,0.0,25.62,61.8,13.85,0,0.329,0.0,0,0,10.71,1960,1528,34.57,52.0,33.52,17.36,18.69,7.65
showcase-000016,4,Civic Spine,C05,Old Town Gate to Harbor Exchange Loop,Old Town Gate,Harbor Exchange,2025-01-01T01:00,Wednesday,1,0,1,0.761,12.28,3.14,0.0,25.49,68.6,12.2,0,0.498,0.0,0,0,8.52,1880,1398,25.37,50.0,49.26,23.65,27.34,15.61
showcase-000017,5,Entertainment Mile,C06,River Market to Stadium Mile,River Market,Stadium Mile,2025-01-01T01:00,Wednesday,1,0,1,0.711,11.88,0.01,0.0,26.1,42.0,14.59,0,0.222,0.0,0,0,6.5,1760,1146,34.99,46.0,23.94,17.15,18.33,6.89
showcase-000018,6,Entertainment Mile,C07,Stadium Mile to Harbor Exchange,Stadium Mile,Harbor Exchange,2025-01-01T01:00,Wednesday,1,0,1,0.791,12.6,0.02,0.0,15.9,47.7,15.36,0,0.397,0.0,0,0,11.23,1940,1497,29.93,44.0,31.97,20.04,21.46,7.09
showcase-000019,7,Campus Ridge,C08,Hill Junction to University Spur,Hill Junction,University Spur,2025-01-01T01:00,Wednesday,1,0,1,0.641,12.68,0.76,0.0,22.75,38.4,15.17,0,0.278,0.0,0,0,5.11,1380,827,41.84,57.0,26.59,14.34,16.34,13.98
showcase-000020,8,Innovation Arc,C09,University Spur to Tech Park,University Spur,Tech Park,2025-01-01T01:00,Wednesday,1,0,1,0.691,13.24,0.35,0.0,13.73,39.3,15.19,0,0.409,0.0,0,0,10.67,1490,1012,47.17,61.0,22.68,12.72,14.48,13.86
showcase-000021,9,Logistics South,C10,Industrial Belt to Harbor Exchange,Industrial Belt,Harbor Exchange,2025-01-01T01:00,Wednesday,1,0,1,0.741,11.12,0.0,0.0,16.31,38.9,14.02,0,0.385,0.0,0,0,8.26,2060,1366,41.82,58.0,27.9,14.35,16.27,13.36
showcase-000022,10,Airport Causeway,C11,Airport Causeway to Harbor Exchange,Airport Causeway,Harbor Exchange,2025-01-01T01:00,Wednesday,1,0,1,0.831,12.4,0.61,0.0,20.1,60.1,15.91,1,0.598,0.0,0,0,17.95,2240,1871,37.35,63.0,40.72,16.07,19.5,21.37
showcase-000023,11,Riverside Freight Belt,C12,Riverside Belt to Industrial Docks,Riverside Belt,Industrial Docks,2025-01-01T01:00,Wednesday,1,0,1,0.721,11.7,0.02,0.0,14.73,40.2,14.96,0,0.252,0.0,0,0,7.9,1825,1293,40.5,55.0,26.36,14.81,15.73,6.24
showcase-000024,0,Old Town Core,C01,Old Town Gate to River Market,Old Town Gate,River Market,2025-01-01T02:00,Wednesday,2,0,1,0.735,11.93,1.48,0.0,16.42,39.2,14.13,0,0.44,0.0,0,0,11.28,1650,1154,27.09,42.0,35.49,22.15,25.15,13.52
showcase-000025,1,North Heights,C02,Old Town Gate to Hill Junction,Old Town Gate,Hill Junction,2025-01-01T02:00,Wednesday,2,0,1,0.665,13.74,0.0,0.0,24.51,44.0,16.04,0,0.194,0.0,0,0,10.67,1520,950,38.67,48.0,19.43,15.51,17.18,10.75
showcase-000026,2,Harbor Belt,C03,River Market to Harbor Exchange,River Market,Harbor Exchange,2025-01-01T02:00,Wednesday,2,0,1,0.795,11.8,0.01,0.0,12.79,47.2,16.49,0,0.232,0.0,0,0,4.48,2140,1587,40.15,54.0,25.64,14.94,16.07,7.54
showcase-000027,3,Harbor Belt,C04,Hill Junction to Harbor Exchange,Hill Junction,Harbor Exchange,2025-01-01T02:00,Wednesday,2,0,1,0.765,13.79,0.26,0.0,20.13,43.4,14.65,0,0.32,0.0,0,0,8.02,1960,1385,39.5,52.0,24.04,15.19,16.48,8.5
showcase-000028,4,Civic Spine,C05,Old Town Gate to Harbor Exchange Loop,Old Town Gate,Harbor Exchange,2025-01-01T02:00,Wednesday,2,0,1,0.745,13.51,1.22,0.0,24.34,50.1,14.07,0,0.447,0.0,0,0,6.97,1880,1426,33.85,50.0,32.3,17.73,20.48,15.51
showcase-000029,5,Entertainment Mile,C06,River Market to Stadium Mile,River Market,Stadium Mile,2025-01-01T02:00,Wednesday,2,0,1,0.695,11.5,1.58,0.0,24.0,39.5,14.18,0,0.32,0.0,0,0,5.23,1760,1129,29.37,46.0,36.15,20.43,23.95,17.24
showcase-000030,6,Entertainment Mile,C07,Stadium Mile to Harbor Exchange,Stadium Mile,Harbor Exchange,2025-01-01T02:00,Wednesday,2,0,1,0.775,11.27,1.37,0.0,22.76,40.8,14.93,0,0.285,0.0,0,0,9.38,1940,1336,26.81,44.0,39.07,22.38,24.73,10.48
showcase-000031,7,Campus Ridge,C08,Hill Junction to University Spur,Hill Junction,University Spur,2025-01-01T02:00,Wednesday,2,0,1,0.625,11.59,0.02,0.0,24.01,35.9,14.06,0,0.318,0.0,0,0,11.76,1380,761,45.31,57.0,20.52,13.24,14.76,11.5
showcase-000032,8,Innovation Arc,C09,University Spur to Tech Park,University Spur,Tech Park,2025-01-01T02:00,Wednesday,2,0,1,0.675,12.45,0.28,0.0,14.26,58.6,15.87,1,0.539,0.0,0,0,12.09,1490,952,40.08,61.0,34.29,14.97,18.29,22.19
showcase-000033,9,Logistics South,C10,Industrial Belt to Harbor Exchange,Industrial Belt,Harbor Exchange,2025-01-01T02:00,Wednesday,2,0,1,0.725,12.15,1.65,0.0,21.6,57.1,13.22,0,0.456,0.0,0,0,10.15,2060,1399,35.58,58.0,38.66,16.87,19.62,16.31
showcase-000034,10,Airport Causeway,C11,Airport Causeway to Harbor Exchange,Airport Causeway,Harbor Exchange,2025-01-01T02:00,Wednesday,2,0,1,0.815,11.36,0.0,0.0,26.92,27.0,15.92,0,0.305,0.0,0,0,8.78,2240,1682,46.44,63.0,26.29,12.92,13.93,7.82
showcase-000035,11,Riverside Freight Belt,C12,Riverside Belt to Industrial Docks,Riverside Belt,Industrial Docks,2025-01-01T02:00,Wednesday,2,0,1,0.705,11.62,0.13,0.0,21.15,49.1,14.76,1,0.433,0.0,0,0,15.24,1825,1255,35.86,55.0,34.8,16.73,20.33,21.54
showcase-000036,0,Old Town Core,C01,Old Town Gate to River Market,Old Town Gate,River Market,2025-01-01T03:00,Wednesday,3,0,1,0.749,13.54,1.27,0.0,19.53,54.6,13.23,0,0.354,0.0,0,0,10.5,1650,1194,28.49,42.0,32.17,21.06,24.64,16.98
showcase-000037,1,North Heights,C02,Old Town Gate to Hill Junction,Old Town Gate,Hill Junction,2025-01-01T03:00,Wednesday,3,0,1,0.679,13.01,0.0,0.0,18.62,38.9,14.82,0,0.321,0.0,0,0,4.2,1520,958,36.21,48.0,24.57,16.57,17.93,8.21
showcase-000038,2,Harbor Belt,C03,River Market to Harbor Exchange,River Market,Harbor Exchange,2025-01-01T03:00,Wednesday,3,0,1,0.809,11.41,0.74,0.0,21.78,49.2,14.43,0,0.319,0.0,0,0,6.51,2140,1634,34.58,54.0,35.96,17.35,19.4,11.84
showcase-000039,3,Harbor Belt,C04,Hill Junction to Harbor Exchange,Hill Junction,Harbor Exchange,2025-01-01T03:00,Wednesday,3,0,1,0.779,14.01,0.24,0.0,20.85,54.8,14.94,1,0.547,0.0,0,0,16.27,1960,1509,33.71,52.0,35.17,17.8,21.37,20.08
showcase-000040,4,Civic Spine,C05,Old Town Gate to Harbor Exchange Loop,Old Town Gate,Harbor Exchange,2025-01-01T03:00,Wednesday,3,0,1,0.759,14.03,1.78,0.0,21.87,65.8,13.23,0,0.371,0.0,0,0,5.67,1880,1377,32.42,50.0,35.16,18.51,20.52,10.84
showcase-000041,5,Entertainment Mile,C06,River Market to Stadium Mile,River Market,Stadium Mile,2025-01-01T03:00,Wednesday,3,0,1,0.709,14.27,0.04,0.0,9.14,48.6,16.39,1,0.371,0.0,0,0,14.33,1760,1279,32.19,46.0,30.02,18.64,21.02,12.79
showcase-000042,6,Entertainment Mile,C07,Stadium Mile to Harbor Exchange,Stadium Mile,Harbor Exchange,2025-01-01T03:00,Wednesday,3,0,1,0.789,12.37,0.29,0.0,10.67,51.2,14.46,0,0.291,0.0,0,0,9.68,1940,1405,31.36,44.0,28.73,19.13,20.98,9.7
showcase-000043,7,Campus Ridge,C08,Hill Junction to University Spur,Hill Junction,University Spur,2025-01-01T03:00,Wednesday,3,0,1,0.639,11.93,0.97,0.0,10.57,56.7,15.16,0,0.23,0.0,0,0,11.95,1380,832,41.76,57.0,26.74,14.37,16.42,14.23
showcase-000044,8,Innovation Arc,C09,University Spur to Tech Park,University Spur,Tech Park,2025-01-01T03:00,Wednesday,3,0,1,0.689,12.09,0.0,0.0,24.7,32.4,16.31,0,0.397,0.0,0,0,4.17,1490,901,47.43,61.0,22.24,12.65,13.73,8.5
showcase-000045,9,Logistics South,C10,Industrial Belt to Harbor Exchange,Industrial Belt,Harbor Exchange,2025-01-01T03:00,Wednesday,3,0,1,0.739,12.29,0.0,0.0,12.28,58.2,16.25,0,0.274,0.0,0,0,4.08,2060,1544,43.9,58.0,24.31,13.67,14.66,7.25
showcase-000046,10,Airport Causeway,C11,Airport Causeway to Harbor Exchange,Airport Causeway,Harbor Exchange,2025-01-01T03:00,Wednesday,3,0,1,0.829,13.59,0.64,0.0,20.36,50.2,14.7,1,0.49,0.0,0,0,17.9,2240,1874,40.2,63.0,36.19,14.93,18.35,22.91
showcase-000047,11,Riverside Freight Belt,C12,Riverside Belt to Industrial Docks,Riverside Belt,Industrial Docks,2025-01-01T03:00,Wednesday,3,0,1,0.719,14.28,1.4,0.0,28.67,40.6,13.59,1,0.587,0.0,0,0,19.33,1825,1346,31.66,55.0,42.43,18.95,23.37,23.35
showcase-000048,0,Old Town Core,C01,Old Town Gate to River Market,Old Town Gate,River Market,2025-01-01T04:00,Wednesday,4,0,1,0.822,14.37,0.35,0.0,9.96,34.9,15.04,1,0.434,0.0,0,0,10.25,1650,1244,28.09,42.0,33.12,21.36,26.19,22.6
showcase-000049,1,North Heights,C02,Old Town Gate to Hill Junction,Old Town Gate,Hill Junction,2025-01-01T04:00,Wednesday,4,0,1,0.752,14.49,0.31,0.0,26.35,34.4,15.36,1,0.394,0.0,0,0,16.46,1520,1168,32.09,48.0,33.14,18.7,21.92,17.2
showcase-000050,2,Harbor Belt,C03,River Market to Harbor Exchange,River Market,Harbor Exchange,2025-01-01T04:00,Wednesday,4,0,1,0.882,14.42,0.0,0.0,24.49,50.4,14.3,1,0.43,0.0,0,0,14.98,2140,1937,32.95,54.0,38.98,18.21,21.4,17.5
showcase-000051,3,Harbor Belt,C04,Hill Junction to Harbor Exchange,Hill Junction,Harbor Exchange,2025-01-01T04:00,Wednesday,4,0,1,0.852,12.38,0.04,0.0,20.01,46.3,15.7,0,0.213,0.0,0,0,8.15,1960,1507,35.31,52.0,32.09,16.99,18.65,9.76
showcase-000052,4,Civic Spine,C05,Old Town Gate to Harbor Exchange Loop,Old Town Gate,Harbor Exchange,2025-01-01T04:00,Wednesday,4,0,1,0.832,14.58,1.24,0.0,24.24,69.1,15.22,0,0.33,0.0,0,0,7.13,1880,1536,32.1,50.0,35.8,18.69,20.49,9.62
showcase-000053,5,Entertainment Mile,C06,River Market to Stadium Mile,River Market,Stadium Mile,2025-01-01T04:00,Wednesday,4,0,1,0.782,12.54,0.03,0.0,26.68,28.9,14.15,0,0.199,0.0,0,0,8.57,1760,1324,31.84,46.0,30.78,18.84,20.25,7.51
showcase-000054,6,Entertainment Mile,C07,Stadium Mile to Harbor Exchange,Stadium Mile,Harbor Exchange,2025-01-01T04:00,Wednesday,4,0,1,0.862,14.48,0.03,0.0,11.66,55.9,14.83,0,0.327,0.0,0,0,9.65,1940,1676,33.95,44.0,22.83,17.67,20.15,14.03
showcase-000055,7,Campus Ridge,C08,Hill Junction to University Spur,Hill Junction,University Spur,2025-01-01T04:00,Wednesday,4,0,1,0.712,14.51,1.26,0.0,12.64,63.9,14.57,1,0.574,0.0,0,0,13.81,1380,875,34.48,57.0,39.5,17.4,21.16,21.62
showcase-000056,8,Innovation Arc,C09,University Spur to Tech Park,University Spur,Tech Park,2025-01-01T04:00,Wednesday,4,0,1,0.762,13.39,1.23,0.0,22.92,48.4,13.92,1,0.505,0.0,0,0,16.48,1490,1007,38.59,61.0,36.74,15.55,18.84,21.14
showcase-000057,9,Logistics South,C10,Industrial Belt to Harbor Exchange,Industrial Belt,Harbor Exchange,2025-01-01T04:00,Wednesday,4,0,1,0.812,14.98,0.0,0.0,22.55,42.2,14.32,0,0.223,0.0,0,0,11.69,2060,1509,42.51,58.0,26.71,14.12,16.05,13.66
showcase-000058,10,Airport Causeway,C11,Airport Causeway to Harbor Exchange,Airport Causeway,Harbor Exchange,2025-01-01T04:00,Wednesday,4,0,1,0.902,13.6,0.46,0.0,24.17,36.2,13.64,1,0.422,0.0,0,0,12.45,2240,1856,35.74,63.0,43.27,16.79,20.45,21.78
showcase-000059,11,Riverside Freight Belt,C12,Riverside Belt to Industrial Docks,Riverside Belt,Industrial Docks,2025-01-01T04:00,Wednesday,4,0,1,0.792,13.85,0.06,0.0,13.57,57.0,14.65,0,0.212,0.0,0,0,7.25,1825,1303,39.37,55.0,28.41,15.24,16.32,7.08
showcase-000060,0,Old Town Core,C01,Old Town Gate to River Market,Old Town Gate,River Market,2025-01-01T05:00,Wednesday,5,0,1,0.979,13.94,0.05,0.0,15.72,37.9,14.99,1,0.405,0.0,0,0,9.8,1650,1500,27.0,42.0,35.71,22.22,25.61,15.28
showcase-000061,1,North Heights,C02,Old Town Gate to Hill Junction,Old Town Gate,Hill Junction,2025-01-01T05:00,Wednesday,5,0,1,0.909,13.34,0.09,0.0,25.28,33.2,16.33,1,0.392,0.0,0,0,10.75,1520,1300,31.33,48.0,34.74,19.15,23.01,20.18
showcase-000062,2,Harbor Belt,C03,River Market to Harbor Exchange,River Market,Harbor Exchange,2025-01-01T05:00,Wednesday,5,0,1,1.039,14.33,0.0,0.0,19.4,40.3,14.8,0,0.332,0.0,0,0,5.58,2140,2172,35.69,54.0,33.9,16.81,18.08,7.57
showcase-000063,3,Harbor Belt,C04,Hill Junction to Harbor Exchange,Hill Junction,Harbor Exchange,2025-01-01T05:00,Wednesday,5,0,1,1.009,15.54,0.09,0.0,19.82,59.1,14.21,0,0.208,0.0,0,0,8.94,1960,1853,35.73,52.0,31.28,16.79,18.09,7.74
showcase-000064,4,Civic Spine,C05,Old Town Gate to Harbor Exchange Loop,Old Town Gate,Harbor Exchange,2025-01-01T05:00,Wednesday,5,0,1,0.989,14.12,0.02,0.0,16.58,49.2,14.74,0,0.387,0.0,0,0,10.33,1880,1867,33.58,50.0,32.85,17.87,19.42,8.65
showcase-000065,5,Entertainment Mile,C06,River Market to Stadium Mile,River Market,Stadium Mile,2025-01-01T05:00,Wednesday,5,0,1,0.939,13.82,0.14,0.0,11.83,37.6,15.24,0,0.318,0.0,0,0,11.5,1760,1605,31.68,46.0,31.13,18.94,21.33,12.6
showcase-000066,6,Entertainment Mile,C07,Stadium Mile to Harbor Exchange,Stadium Mile,Harbor Exchange,2025-01-01T05:00,Wednesday,5,0,1,1.019,13.55,0.0,0.0,24.41,48.6,15.42,0,0.374,0.0,0,0,5.63,1940,1943,28.56,44.0,35.1,21.01,23.89,13.73
showcase-000067,7,Campus Ridge,C08,Hill Junction to University Spur,Hill Junction,University Spur,2025-01-01T05:00,Wednesday,5,0,1,0.869,14.26,0.6,0.0,13.07,43.6,13.71,1,0.47,0.0,0,0,12.17,1380,1180,32.37,57.0,43.22,18.54,22.07,19.06
showcase-000068,8,Innovation Arc,C09,University Spur to Tech Park,University Spur,Tech Park,2025-01-01T05:00,Wednesday,5,0,1,0.919,14.86,0.13,0.0,14.65,48.8,14.13,0,0.356,0.0,0,0,4.32,1490,1302,41.24,61.0,32.39,14.55,16.61,14.16
showcase-000069,9,Logistics South,C10,Industrial Belt to Harbor Exchange,Industrial Belt,Harbor Exchange,2025-01-01T05:00,Wednesday,5,0,1,0.969,14.41,0.36,0.0,15.26,50.9,14.06,0,0.217,0.0,0,0,5.72,2060,1866,35.77,58.0,38.33,16.77,18.48,10.18
showcase-000070,10,Airport Causeway,C11,Airport Causeway to Harbor Exchange,Airport Causeway,Harbor Exchange,2025-01-01T05:00,Wednesday,5,0,1,1.059,14.0,1.39,0.0,25.93,40.9,13.02,0,0.406,0.0,0,0,6.46,2240,2427,31.7,63.0,49.69,18.93,21.99,16.15
showcase-000071,11,Riverside Freight Belt,C12,Riverside Belt to Industrial Docks,Riverside Belt,Industrial Docks,2025-01-01T05:00,Wednesday,5,0,1,0.949,14.89,0.23,0.0,22.39,58.4,13.96,0,0.333,0.0,0,0,6.06,1825,1762,37.79,55.0,31.29,15.88,17.51,10.24
showcase-000072,0,Old Town Core,C01,Old Town Gate to River Market,Old Town Gate,River Market,2025-01-01T06:00,Wednesday,6,0,1,1.208,13.96,0.31,0.0,15.84,40.9,13.84,0,0.28,0.0,0,0,11.19,1650,2042,24.99,42.0,40.51,24.01,25.97,8.14
showcase-000073,1,North Heights,C02,Old Town Gate to Hill Junction,Old Town Gate,Hill Junction,2025-01-01T06:00,Wednesday,6,0,1,1.138,14.05,0.11,0.0,12.86,46.9,15.68,0,0.207,0.0,0,0,7.46,1520,1594,29.05,48.0,39.47,20.65,23.58,14.17
showcase-000074,2,Harbor Belt,C03,River Market to Harbor Exchange,River Market,Harbor Exchange,2025-01-01T06:00,Wednesday,6,0,1,1.268,16.18,1.29,0.0,23.27,47.6,13.64,0,0.295,0.0,0,0,5.35,2140,2569,26.59,54.0,50.76,22.56,25.07,11.12
showcase-000075,3,Harbor Belt,C04,Hill Junction to Harbor Exchange,Hill Junction,Harbor Exchange,2025-01-01T06:00,Wednesday,6,0,1,1.238,14.53,0.96,0.0,18.31,49.1,13.8,0,0.273,0.0,0,0,11.81,1960,2441,26.0,52.0,50.0,23.08,26.73,15.79
showcase-000076,4,Civic Spine,C05,Old Town Gate to Harbor Exchange Loop,Old Town Gate,Harbor Exchange,2025-01-01T06:00,Wednesday,6,0,1,1.218,15.31,3.62,0.0,15.53,72.1,13.06,0,0.409,0.0,0,0,11.48,1880,2137,16.38,50.0,67.24,36.63,43.74,19.42
showcase-000077,5,Entertainment Mile,C06,River Market to Stadium Mile,River Market,Stadium Mile,2025-01-01T06:00,Wednesday,6,0,1,1.168,15.6,0.0,0.0,23.74,40.6,16.01,1,0.567,0.0,0,0,13.56,1760,1846,24.69,46.0,46.32,24.3,30.16,24.1
showcase-000078,6,Entertainment Mile,C07,Stadium Mile to Harbor Exchange,Stadium Mile,Harbor Exchange,2025-01-01T06:00,Wednesday,6,0,1,1.248,15.47,0.02,0.0,13.59,46.6,14.44,0,0.205,0.0,0,0,9.11,1940,2449,26.96,44.0,38.72,22.25,25.15,13.05
showcase-000079,7,Campus Ridge,C08,Hill Junction to University Spur,Hill Junction,University Spur,2025-01-01T06:00,Wednesday,6,0,1,1.098,15.99,1.25,0.0,23.82,54.1,13.48,1,0.621,0.0,0,0,13.23,1380,1378,26.96,57.0,52.71,22.26,27.69,24.41
showcase-000080,8,Innovation Arc,C09,University Spur to Tech Park,University Spur,Tech Park,2025-01-01T06:00,Wednesday,6,0,1,1.148,14.27,0.02,0.0,9.5,44.8,15.58,1,0.498,0.0,0,0,11.75,1490,1698,32.24,61.0,47.15,18.61,21.58,15.95
showcase-000081,9,Logistics South,C10,Industrial Belt to Harbor Exchange,Industrial Belt,Harbor Exchange,2025-01-01T06:00,Wednesday,6,0,1,1.198,14.76,0.0,0.0,24.94,58.7,14.54,0,0.181,0.0,0,0,5.58,2060,2190,31.34,58.0,45.97,19.15,20.9,9.14
showcase-000082,10,Airport Causeway,C11,Airport Causeway to Harbor Exchange,Airport Causeway,Harbor Exchange,2025-01-01T06:00,Wednesday,6,0,1,1.288,16.32,0.03,0.0,22.77,37.5,14.43,0,0.269,0.0,0,0,6.96,2240,2527,35.66,63.0,43.4,16.83,17.95,6.68
showcase-000083,11,Riverside Freight Belt,C12,Riverside Belt to Industrial Docks,Riverside Belt,Industrial Docks,2025-01-01T06:00,Wednesday,6,0,1,1.178,15.89,0.58,0.0,10.93,51.5,14.12,0,0.319,0.0,0,0,7.95,1825,2163,33.11,55.0,39.8,18.12,20.02,10.48
showcase-000084,0,Old Town Core,C01,Old Town Gate to River Market,Old Town Gate,River Market,2025-01-01T07:00,Wednesday,7,0,1,1.434,14.64,0.05,0.0,17.71,56.4,14.3,2,0.627,0.0,0,0,22.21,1650,2167,11.64,42.0,72.29,51.56,68.9,33.64
showcase-000085,1,North Heights,C02,Old Town Gate to Hill Junction,Old Town Gate,Hill Junction,2025-01-01T07:00,Wednesday,7,0,1,1.364,14.67,0.04,0.0,17.09,56.8,15.64,0,0.197,0.0,0,0,9.53,1520,1938,23.26,48.0,51.54,25.8,28.74,11.4
showcase-000086,2,Harbor Belt,C03,River Market to Harbor Exchange,River Market,Harbor Exchange,2025-01-01T07:00,Wednesday,7,0,1,1.494,15.11,0.16,0.0,27.17,29.2,15.29,0,0.22,0.0,0,0,8.41,2140,3266,26.22,54.0,51.45,22.89,24.62,7.54
showcase-000087,3,Harbor Belt,C04,Hill Junction to Harbor Exchange,Hill Junction,Harbor Exchange,2025-01-01T07:00,Wednesday,7,0,1,1.464,17.05,0.0,0.0,24.77,31.0,15.72,0,0.361,0.0,0,0,9.26,1960,2693,25.42,52.0,51.12,23.61,25.78,9.19
showcase-000088,4,Civic Spine,C05,Old Town Gate to Harbor Exchange Loop,Old Town Gate,Harbor Exchange,2025-01-01T07:00,Wednesday,7,0,1,1.444,17.14,0.19,0.0,13.99,38.2,13.87,0,0.391,0.0,0,0,11.8,1880,2698,24.38,50.0,51.24,24.61,27.94,13.51
showcase-000089,5,Entertainment Mile,C06,River Market to Stadium Mile,River Market,Stadium Mile,2025-01-01T07:00,Wednesday,7,0,1,1.394,17.08,0.5,0.0,10.76,30.9,14.52,0,0.248,0.0,0,0,10.04,1760,2174,21.59,46.0,53.07,27.79,31.14,12.06
showcase-000090,6,Entertainment Mile,C07,Stadium Mile to Harbor Exchange,Stadium Mile,Harbor Exchange,2025-01-01T07:00,Wednesday,7,0,1,1.474,16.49,3.94,0.0,16.98,83.1,11.27,1,0.662,0.0,0,0,18.06,1940,2629,7.5,44.0,82.95,80.0,106.89,33.61
