year,quarter,source_airport,target_airport,distance_miles,passengers,average_fare,primary_carrier,primary_market_share,primary_carrier_fare,low_fare_carrier,low_fare_market_share,low_fare
2021,3,COS,ONT,833,46,188.22,WN,0.5619,171.16,WN,0.5619,171.16
2021,3,COS,SNA,833,48,200.83,WN,0.5666,170.91,WN,0.5666,170.91
2021,3,DAL,PIT,1067,65,209.05,WN,0.9210,206.89,WN,0.9210,206.89
2021,3,DFW,PIT,1067,432,238.32,AA,0.9359,240.38,NK,0.0138,95.38
2021,3,DAL,DEN,651,1033,134.10,WN,0.9985,134.14,WN,0.9985,134.14
2021,3,DFW,DEN,651,1904,134.51,AA,0.6307,141.57,UA,0.2787,135.21
2021,3,DAL,TUS,824,16,208.04,WN,0.9868,206.89,WN,0.9868,206.89
2021,3,DFW,TUS,824,186,228.87,AA,0.9427,229.50,UA,0.0345,211.31
2021,3,DAL,PHX,879,876,140.45,WN,0.9975,140.49,WN,0.9975,140.49
2021,3,DFW,PHX,879,1027,178.45,AA,0.9076,184.17,NK,0.0493,92.39
2021,3,DAL,BDL,1471,24,280.38,WN,0.8795,269.29,WN,0.8795,269.29
2021,3,DFW,BDL,1471,212,286.95,AA,0.7766,293.80,AA,0.7766,293.80
2021,3,DAL,SEA,1670,445,193.65,AS,0.6464,188.36,AS,0.6464,188.36
2021,3,DFW,SEA,1670,1292,215.53,AA,0.4881,227.16,AS,0.4334,205.36
2021,3,DAL,ELP,562,350,162.00,WN,1.0000,162.00,WN,1.0000,162.00
2021,3,DFW,ELP,562,350,171.00,AA,0.9938,170.78,AA,0.9938,170.78
2021,3,DAL,BNA,631,550,157.21,WN,0.9929,156.76,WN,0.9929,156.76
2021,3,DFW,BNA,631,700,172.04,AA,0.9473,174.14,F9,0.0263,69.43
2021,3,DAL,BWI,1217,649,176.22,WN,0.9883,175.89,WN,0.9883,175.89
2021,3,DAL,DCA,1217,278,202.77,WN,0.9808,201.83,WN,0.9808,201.83
2021,3,DAL,IAD,1217,17,226.73,WN,0.7756,215.95,WN,0.7756,215.95
2021,3,DFW,BWI,1217,647,181.97,AA,0.7187,202.68,NK,0.2188,105.78
2021,3,DFW,DCA,1217,722,252.24,AA,0.9541,252.06,AA,0.9541,252.06
2021,3,DFW,IAD,1217,352,248.61,UA,0.4994,245.32,UA,0.4994,245.32
2021,3,DAL,STL,550,460,167.30,WN,0.9976,167.27,WN,0.9976,167.27
2021,3,DFW,STL,550,404,173.99,AA,0.9795,173.46,AA,0.9795,173.46
2021,3,DAL,MYR,1048,38,167.45,WN,0.8949,163.64,WN,0.8949,163.64
2021,3,DFW,MYR,1048,195,166.15,AA,0.8389,172.96,NK,0.0881,87.79
2021,3,DAL,JAX,918,52,190.04,WN,0.8998,183.34,WN,0.8998,183.34
2021,3,DFW,JAX,918,414,199.56,AA,0.9485,196.93,AA,0.9485,196.93
2021,3,DAL,DTW,986,65,161.72,WN,0.8754,149.38,WN,0.8754,149.38
2021,3,DFW,DTW,986,1236,163.13,DL,0.4949,173.31,AA,0.4005,166.37
2021,3,DAL,DSM,624,7,183.30,WN,0.9844,183.47,WN,0.9844,183.47
2021,3,DFW,DSM,624,180,212.01,AA,0.8867,214.54,UA,0.0699,187.21
2021,3,DAL,HOU,247,560,165.35,WN,0.9971,165.42,WN,0.9971,165.42
2021,3,DAL,IAH,247,107,149.83,WN,1.0000,149.83,WN,1.0000,149.83
2021,3,DFW,HOU,247,132,157.34,AA,0.9727,157.42,AA,0.9727,157.42
2021,3,DFW,IAH,247,442,164.19,AA,0.5483,160.07,AA,0.5483,160.07
2021,3,DAL,MCO,985,753,156.03,WN,0.9827,155.27,WN,0.9827,155.27
2021,3,DFW,MCO,985,1623,161.06,AA,0.7233,183.34,NK,0.2005,86.91
2021,3,DAL,ECP,685,247,153.96,WN,0.9842,153.63,WN,0.9842,153.63
2021,3,DFW,ECP,685,172,191.07,AA,0.9034,191.39,DL,0.0663,182.69
2021,3,DAL,VPS,641,99,165.24,WN,0.9639,164.70,WN,0.9639,164.70
2021,3,DFW,VPS,641,424,184.18,AA,0.9726,184.37,DL,0.0195,169.47
2021,3,DAL,FAT,1325,19,220.11,WN,0.8409,229.05,AS,0.1420,156.60
2021,3,DFW,FAT,1325,176,247.52,AA,0.8845,250.02,UA,0.0451,225.38
2021,3,DAL,MSP,853,118,130.46,WN,0.9889,129.91,WN,0.9889,129.91
2021,3,DFW,MSP,853,1272,129.98,DL,0.4874,132.46,DL,0.4874,132.46
2021,3,DAL,EWR,1428,5,219.33,DL,1.0000,219.33,DL,1.0000,219.33
2021,3,DAL,HPN,1428,1,230.18,DL,1.0000,230.18,DL,1.0000,230.18
2021,3,DAL,ISP,1428,24,179.65,WN,1.0000,179.65,WN,1.0000,179.65
2021,3,DAL,JFK,1428,4,185.84,DL,0.9697,189.34,DL,0.9697,189.34
2021,3,DAL,LGA,1428,379,169.62,WN,0.9759,168.98,WN,0.9759,168.98
2021,3,DFW,EWR,1428,1239,201.73,UA,0.4243,197.59,F9,0.1144,103.33
2021,3,DFW,HPN,1428,13,277.56,AA,0.5820,277.55,AA,0.5820,277.55
2021,3,DFW,ISP,1428,5,295.83,AA,0.8000,315.21,F9,0.1556,140.00
2021,3,DFW,JFK,1428,516,192.11,DL,0.3431,209.54,B6,0.2968,167.77
2021,3,DFW,LGA,1428,1784,204.68,AA,0.5109,230.55,DL,0.3601,188.40
2021,3,DFW,SWF,1428,2,225.21,AA,0.9565,224.05,AA,0.9565,224.05
2021,3,DAL,RSW,1017,92,173.33,WN,0.9600,171.82,WN,0.9600,171.82
2021,3,DFW,RSW,1017,300,204.15,AA,0.9609,203.25,AA,0.9609,203.25
2021,3,DAL,GSP,862,28,198.88,WN,0.8000,193.17,WN,0.8000,193.17
2021,3,DFW,GSP,862,167,223.35,AA,0.8584,220.39,AA,0.8584,220.39
2021,3,DAL,GEG,1486,42,228.18,WN,0.6803,234.72,AS,0.3018,210.91
2021,3,DFW,GEG,1486,162,270.33,AA,0.5251,306.72,DL,0.2482,221.63
2021,3,DAL,GRR,931,23,214.82,WN,0.8785,205.30,WN,0.8785,205.30
2021,3,DFW,GRR,931,212,247.31,AA,0.7981,250.83,DL,0.1420,239.90
2021,3,DAL,HRL,461,130,146.68,WN,0.9992,146.74,WN,0.9992,146.74
2021,3,DFW,HRL,461,85,166.14,AA,0.8766,161.52,AA,0.8766,161.52
2021,3,DAL,LAS,1067,984,170.82,WN,0.9954,170.81,WN,0.9954,170.81
2021,3,DFW,LAS,1067,1966,183.07,AA,0.6275,221.53,NK,0.2037,107.52
2021,3,DAL,IND,761,130,180.96,WN,0.9707,179.60,WN,0.9707,179.60
2021,3,DFW,IND,761,469,201.78,AA,0.9478,200.86,AA,0.9478,200.86
2021,3,DAL,OAK,1476,344,187.84,WN,0.9930,187.80,WN,0.9930,187.80
2021,3,DAL,SFO,1476,162,206.97,AS,0.7638,206.08,WN,0.2268,203.34
2021,3,DAL,SJC,1476,246,204.27,WN,0.9845,204.18,WN,0.9845,204.18
2021,3,DFW,OAK,1476,40,157.63,DL,0.4812,220.76,F9,0.1129,77.10
2021,3,DFW,SFO,1476,1052,229.36,AA,0.7807,231.45,AA,0.7807,231.45
2021,3,DFW,SJC,1476,219,267.73,AA,0.8674,271.99,DL,0.0601,230.64
2021,3,DAL,FLL,1121,388,136.06,WN,0.9882,135.41,WN,0.9882,135.41
2021,3,DAL,MIA,1121,220,151.06,WN,0.9629,150.45,WN,0.9629,150.45
2021,3,DFW,FLL,1121,918,144.58,AA,0.7103,159.60,NK,0.2687,97.32
2021,3,DFW,MIA,1121,1038,189.37,AA,0.9335,193.03,F9,0.0395,86.66
2021,3,DAL,BUR,1246,141,171.31,WN,0.9869,171.49,WN,0.9869,171.49
2021,3,DAL,LAX,1246,961,148.72,WN,0.7119,153.39,AS,0.2827,135.90
2021,3,DAL,LGB,1246,144,143.98,WN,0.9955,143.86,WN,0.9955,143.86
2021,3,DAL,ONT,1246,156,181.88,WN,0.9958,182.00,WN,0.9958,182.00
2021,3,DAL,SNA,1246,136,209.29,WN,0.9912,208.30,WN,0.9912,208.30
2021,3,DFW,BUR,1246,163,216.01,AA,0.9686,215.70,AA,0.9686,215.70
2021,3,DFW,LAX,1246,2541,165.93,AA,0.6326,188.37,NK,0.1924,90.86
2021,3,DFW,LGB,1246,51,174.28,AA,0.9231,174.33,DL,0.0620,163.62
2021,3,DFW,ONT,1246,579,186.26,AA,0.8415,200.97,F9,0.1313,84.05
2021,3,DFW,SNA,1246,748,237.59,AA,0.9496,238.66,NK,0.0108,86.16
2021,3,DAL,LIT,304,72,139.48,WN,1.0000,139.48,WN,1.0000,139.48
2021,3,DFW,LIT,304,171,164.58,AA,0.9880,164.69,AA,0.9880,164.69
2021,3,DAL,LBB,293,196,144.64,WN,1.0000,144.64,WN,1.0000,144.64
2021,3,DFW,LBB,293,131,159.46,AA,0.9950,159.64,AA,0.9950,159.64
2021,3,DAL,SDF,733,79,177.19,WN,0.9530,176.49,WN,0.9530,176.49
2021,3,DFW,SDF,733,262,194.45,AA,0.9527,193.01,UA,0.0112,182.48
2021,3,DAL,MAF,319,150,153.29,WN,0.9964,153.41,WN,0.9964,153.41
2021,3,DFW,MAF,319,115,175.23,AA,0.9792,174.90,AA,0.9792,174.90
2021,3,DAL,SMF,1442,225,226.88,WN,0.9899,226.32,WN,0.9899,226.32
2021,3,DFW,SMF,1442,424,251.80,AA,0.8767,256.15,NK,0.0333,92.16
2021,3,DAL,TPA,929,412,139.58,WN,0.9826,138.53,WN,0.9826,138.53
2021,3,DFW,TPA,929,902,157.91,AA,0.8703,164.63,NK,0.1010,81.36
2021,3,DAL,MCI,461,402,154.27,WN,1.0000,154.27,WN,1.0000,154.27
2021,3,DFW,MCI,461,487,147.88,AA,0.9880,147.75,AA,0.9880,147.75
2021,3,DAL,SAT,247,379,168.49,WN,0.9983,168.55,WN,0.9983,168.55
2021,3,DFW,SAT,247,334,164.30,AA,0.9765,164.36,AA,0.9765,164.36
2021,3,DAL,MEM,431,105,142.56,WN,0.9856,142.14,WN,0.9856,142.14
2021,3,DFW,MEM,431,386,154.36,AA,0.9763,153.00,AA,0.9763,153.00
2021,3,DAL,OMA,586,113,163.50,WN,0.9981,163.49,WN,0.9981,163.49
2021,3,DFW,OMA,586,261,186.98,AA,0.9520,185.78,AA,0.9520,185.78
2021,3,DAL,MKE,853,115,194.50,WN,0.9773,193.70,WN,0.9773,193.70
2021,3,DFW,MKE,853,340,212.41,AA,0.9255,209.47,AA,0.9255,209.47
2021,3,DAL,MSY,447,470,124.38,WN,0.9965,124.27,WN,0.9965,124.27
2021,3,DFW,MSY,447,446,137.70,AA,0.9084,140.17,NK,0.0565,84.28
2021,3,DAL,SAN,1182,502,193.13,WN,0.9922,192.50,WN,0.9922,192.50
2021,3,DFW,SAN,1182,964,218.41,AA,0.8520,225.50,F9,0.0103,70.52
2021,3,DAL,ORF,1212,38,226.94,WN,0.8138,218.89,WN,0.8138,218.89
2021,3,DFW,ORF,1212,321,224.84,AA,0.8736,221.89,AA,0.8736,221.89
2021,3,DFW,PHF,1212,10,273.36,AA,0.9778,275.66,AA,0.9778,275.66
2021,3,DAL,PNS,604,156,131.21,WN,0.9748,130.28,WN,0.9748,130.28
2021,3,DFW,PNS,604,290,147.56,AA,0.8428,155.98,NK,0.1050,72.65
2021,3,DAL,PBI,1102,7,260.03,DL,0.5909,272.26,WN,0.4091,242.37
2021,3,DFW,PBI,1102,183,250.56,AA,0.9200,250.77,AA,0.9200,250.77
2021,3,DAL,PDX,1626,189,215.43,WN,0.5192,225.95,AS,0.4388,205.54
2021,3,DFW,PDX,1626,601,227.64,AA,0.5627,249.37,AS,0.3280,196.76
2021,3,DAL,PHL,1303,69,205.50,WN,0.7598,211.81,DL,0.2386,185.58
2021,3,DFW,PHL,1303,1200,209.37,AA,0.8797,219.86,F9,0.0600,90.64
2021,3,DAL,RDU,1061,101,211.10,WN,0.9194,205.07,WN,0.9194,205.07
2021,3,DFW,RDU,1061,491,227.40,AA,0.9203,226.82,UA,0.0151,226.32
2021,3,DAL,RIC,1158,32,215.48,WN,0.8013,207.69,WN,0.8013,207.69
2021,3,DFW,RIC,1158,265,239.87,AA,0.8996,240.12,NK,0.0107,104.65
2021,3,DAL,RNO,1356,79,223.76,WN,0.9848,224.58,AS,0.0110,175.25
2021,3,DFW,RNO,1356,237,248.35,AA,0.9161,248.60,UA,0.0243,237.15
2021,3,DAL,SLC,999,197,148.94,WN,0.9945,148.91,WN,0.9945,148.91
2021,3,DFW,SLC,999,1008,168.29,DL,0.5006,160.35,DL,0.5006,160.35
2021,3,DAL,TUL,238,79,147.57,WN,1.0000,147.57,WN,1.0000,147.57
2021,3,DFW,TUL,238,122,155.37,AA,0.9964,155.29,AA,0.9964,155.29
2021,3,DAL,SAV,925,76,176.83,WN,0.9258,174.82,WN,0.9258,174.82
2021,3,DFW,SAV,925,175,191.21,AA,0.9002,187.73,AA,0.9002,187.73
2021,3,DAL,TYS,771,2,267.15,DL,1.0000,267.15,DL,1.0000,267.15
2021,3,DFW,TYS,771,192,268.34,AA,0.9060,267.55,UA,0.0164,247.93
2021,3,PIT,OAK,2254,45,297.78,WN,0.8696,310.75,NK,0.0676,178.57
2021,3,PIT,SFO,2254,230,361.78,UA,0.3694,396.82,AA,0.2455,357.97
2021,3,PIT,SJC,2254,70,321.69,WN,0.5062,298.43,WN,0.5062,298.43
2021,3,PIT,PIE,878,80,90.03,G4,1.0000,90.03,G4,1.0000,90.03
2021,3,PIT,TPA,878,532,163.99,WN,0.6272,177.72,NK,0.1428,75.24
2021,3,HSV,BWI,641,37,270.79,DL,0.6297,272.46,AA,0.3324,269.04
2021,3,HSV,DCA,641,129,274.03,AA,0.9129,267.93,AA,0.9129,267.93
2021,3,HSV,IAD,641,76,244.29,UA,0.8845,231.81,UA,0.8845,231.81
2021,3,ALB,BWI,325,129,173.61,WN,0.9992,173.70,WN,0.9992,173.70
2021,3,ALB,DCA,325,83,210.15,AA,0.9882,209.67,AA,0.9882,209.67
2021,3,ALB,IAD,325,46,216.55,UA,0.9930,216.70,UA,0.9930,216.70
2021,3,ALB,MDW,723,108,192.16,WN,0.9940,191.31,WN,0.9940,191.31
2021,3,ALB,ORD,723,205,242.40,UA,0.6433,234.51,UA,0.6433,234.51
2021,3,ALB,FLL,1225,272,180.60,B6,0.7990,174.50,B6,0.7990,174.50
2021,3,ALB,MIA,1225,34,229.44,AA,0.5237,236.62,WN,0.2650,186.00
2021,3,ALB,BUR,2468,9,308.06,WN,0.8929,304.96,UA,0.0238,183.00
2021,3,ALB,LAX,2468,142,400.71,AA,0.3057,404.44,WN,0.1816,333.63
2021,3,ALB,LGB,2468,4,289.46,WN,0.9444,287.81,WN,0.9444,287.81
2021,3,ALB,ONT,2468,16,317.85,WN,0.4133,279.20,F9,0.1067,152.31
2021,3,ALB,SNA,2468,29,391.80,UA,0.2890,411.84,WN,0.2662,336.76
2021,3,ALB,PIE,1138,84,93.44,G4,1.0000,93.44,G4,1.0000,93.44
2021,3,ALB,TPA,1138,149,222.11,WN,0.6380,204.36,WN,0.6380,204.36
2021,3,AMA,DAL,323,118,136.30,WN,0.9954,136.24,WN,0.9954,136.24
2021,3,AMA,DFW,323,114,151.57,AA,0.9876,151.38,AA,0.9876,151.38
2021,3,DEN,PHX,602,2449,128.62,WN,0.5098,133.45,AA,0.2062,121.14
2021,3,DEN,BWI,1491,1173,201.47,WN,0.6633,209.25,WN,0.6633,209.25
2021,3,DEN,DCA,1491,759,174.94,F9,0.5729,114.45,F9,0.5729,114.45
2021,3,DEN,IAD,1491,1091,234.96,UA,0.7092,254.91,WN,0.2702,178.10
2021,3,DEN,HOU,883,770,138.33,WN,0.9883,137.65,WN,0.9883,137.65
2021,3,DEN,IAH,883,1575,150.29,UA,0.6643,171.65,WN,0.1952,119.09
2021,3,DEN,EWR,1659,1266,294.26,UA,0.9397,298.56,NK,0.0119,94.54
2021,3,DEN,HPN,1659,15,302.89,AA,0.5070,309.76,DL,0.3380,280.09
2021,3,DEN,ISP,1659,31,233.73,WN,0.8646,235.26,F9,0.0556,128.12
2021,3,DEN,JFK,1659,777,245.76,B6,0.5057,232.39,B6,0.5057,232.39
2021,3,DEN,LGA,1659,1533,251.89,UA,0.3061,289.25,WN,0.2003,206.69
2021,3,DEN,SWF,1659,2,279.05,AA,1.0000,279.05,AA,1.0000,279.05
2021,3,DEN,OAK,967,787,153.57,WN,0.8580,162.55,F9,0.1146,84.67
2021,3,DEN,SFO,967,1447,186.15,UA,0.5542,224.30,F9,0.1567,99.15
2021,3,DEN,SJC,967,665,205.14,WN,0.7424,192.40,WN,0.7424,192.40
2021,3,DEN,FLL,1709,873,169.22,UA,0.4485,208.45,NK,0.2062,86.95
2021,3,DEN,MIA,1709,788,166.59,AA,0.4308,181.28,F9,0.1330,88.35
2021,3,DEN,BUR,862,513,142.75,WN,0.8263,138.97,WN,0.8263,138.97
2021,3,DEN,LAX,862,2367,133.12,UA,0.3064,152.63,AA,0.2020,121.91
2021,3,DEN,LGB,862,275,112.51,WN,0.9684,110.86,WN,0.9684,110.86
2021,3,DEN,ONT,862,544,130.66,WN,0.5949,138.45,F9,0.1906,79.02
2021,3,DEN,SNA,862,1259,133.59,WN,0.6202,127.36,F9,0.1064,73.44
2021,3,DEN,TPA,1506,1188,169.28,WN,0.4811,163.74,F9,0.1203,82.68
2021,3,DEN,ORF,1553,327,218.17,UA,0.3842,254.41,F9,0.2094,104.52
2021,3,DEN,PHF,1553,9,265.28,AA,1.0000,265.28,AA,1.0000,265.28
2021,3,ATL,DAL,731,888,132.85,WN,0.5942,127.27,WN,0.5942,127.27
2021,3,ATL,DFW,731,1883,134.96,DL,0.4739,143.06,AA,0.4368,135.16
2021,3,ATL,PHX,1587,1098,204.06,DL,0.5527,229.62,AA,0.1924,172.45
2021,3,ATL,CAK,554,6,286.31,AA,0.8868,290.97,UA,0.1132,249.83
2021,3,ATL,CLE,554,931,133.30,DL,0.7454,141.81,WN,0.1145,124.85
2021,3,ATL,BOS,952,1963,204.01,DL,0.8017,211.97,B6,0.1338,166.62
2021,3,ATL,MHT,952,39,249.63,AA,0.5457,261.98,WN,0.3546,225.50
2021,3,ATL,PVD,952,282,220.73,DL,0.8053,234.66,F9,0.0766,76.10
2021,3,ATL,BWI,577,1640,150.03,DL,0.4453,170.43,NK,0.1226,93.64
2021,3,ATL,DCA,577,1464,163.76,DL,0.6211,176.46,WN,0.1673,126.71
2021,3,ATL,IAD,577,683,153.95,DL,0.5370,168.22,WN,0.1505,108.80
2021,3,ATL,MDW,606,1315,134.27,WN,0.6708,128.95,WN,0.6708,128.95
2021,3,ATL,ORD,606,2262,138.01,DL,0.5176,144.59,AA,0.2553,133.23
2021,3,ATL,CMH,447,616,155.51,DL,0.7551,161.67,WN,0.2151,133.17
2021,3,ATL,HOU,696,1065,137.04,WN,0.5486,129.14,WN,0.5486,129.14
2021,3,ATL,IAH,696,1205,139.89,DL,0.6077,142.51,DL,0.6077,142.51
2021,3,ATL,EWR,795,2266,171.22,DL,0.4103,211.10,NK,0.1194,105.88
2021,3,ATL,HPN,795,198,253.47,DL,0.9627,254.83,AA,0.0143,210.34
2021,3,ATL,ISP,795,71,115.59,F9,0.6713,80.08,F9,0.6713,80.08
2021,3,ATL,JFK,795,1027,200.77,DL,0.6665,213.64,B6,0.2657,174.65
2021,3,ATL,LGA,795,2897,191.11,DL,0.6513,213.39,WN,0.1432,157.98
2021,3,ATL,SWF,795,2,286.57,AA,1.0000,286.57,AA,1.0000,286.57
2021,3,ATL,OAK,2139,213,213.36,WN,0.6029,207.75,WN,0.6029,207.75
2021,3,ATL,SFO,2139,1111,311.20,DL,0.7274,350.90,F9,0.1096,134.20
2021,3,ATL,SJC,2139,177,299.63,DL,0.4932,343.59,WN,0.3034,238.01
2021,3,ATL,FLL,594,2137,121.48,DL,0.6425,131.56,WN,0.1869,108.19
2021,3,ATL,MIA,594,2094,136.96,DL,0.5451,149.45,WN,0.1012,114.47
2021,3,ATL,BUR,1947,64,265.18,WN,0.4492,226.69,WN,0.4492,226.69
2021,3,ATL,LAX,1947,2859,255.44,DL,0.5638,309.99,NK,0.1473,123.89
2021,3,ATL,LGB,1947,60,171.36,WN,0.7243,150.85,WN,0.7243,150.85
2021,3,ATL,ONT,1947,341,229.92,DL,0.4963,286.07,F9,0.2477,97.32
2021,3,ATL,SNA,1947,298,324.40,DL,0.7176,349.07,AA,0.1167,294.32
2021,3,ATL,TPA,406,1245,140.66,DL,0.6671,152.88,WN,0.2578,124.13
2021,3,ATL,ORF,516,438,196.61,DL,0.8492,200.26,UA,0.0221,131.27
2021,3,ATL,PHF,516,5,284.06,AA,1.0000,284.06,AA,1.0000,284.06
2021,3,AUS,DAL,190,233,163.66,WN,0.9995,163.58,WN,0.9995,163.58
2021,3,AUS,DFW,190,196,164.05,AA,0.9928,163.67,AA,0.9928,163.67
2021,3,AUS,PHX,872,663,193.41,WN,0.5526,188.89,WN,0.5526,188.89
2021,3,AUS,BOS,1698,818,234.75,AA,0.3457,232.18,AA,0.3457,232.18
2021,3,AUS,MHT,1698,35,270.31,WN,0.5511,251.48,WN,0.5511,251.48
2021,3,AUS,PVD,1698,68,256.26,WN,0.3499,243.40,WN,0.3499,243.40
2021,3,AUS,BWI,1342,408,213.39,WN,0.7797,213.88,NK,0.0253,99.58
2021,3,AUS,DCA,1342,319,228.91,WN,0.6593,212.04,WN,0.6593,212.04
2021,3,AUS,IAD,1342,356,232.01,UA,0.6810,249.80,AA,0.2441,177.98
2021,3,AUS,MDW,977,468,161.03,WN,0.9870,160.67,WN,0.9870,160.67
2021,3,AUS,ORD,977,1041,174.74,AA,0.4537,173.74,WN,0.1111,154.59
2021,3,AUS,EWR,1559,971,194.82,UA,0.5624,218.93,NK,0.1952,104.90
2021,3,AUS,HPN,1559,12,282.81,DL,0.5179,271.65,DL,0.5179,271.65
2021,3,AUS,ISP,1559,17,243.90,WN,0.8734,239.76,WN,0.8734,239.76
2021,3,AUS,JFK,1559,956,238.85,DL,0.4764,252.93,B6,0.2095,225.72
2021,3,AUS,LGA,1559,120,245.93,WN,0.4182,218.54,WN,0.4182,218.54
2021,3,AUS,SWF,1559,1,291.71,AA,1.0000,291.71,AA,1.0000,291.71
2021,3,AUS,OAK,1504,217,194.76,WN,0.8986,194.37,WN,0.8986,194.37
2021,3,AUS,SFO,1504,822,214.79,UA,0.5114,223.01,AS,0.3341,201.80
2021,3,AUS,SJC,1504,500,199.64,WN,0.5244,186.36,WN,0.5244,186.36
2021,3,AUS,FLL,1105,463,127.12,WN,0.5614,130.64,NK,0.1635,89.54
2021,3,AUS,MIA,1105,478,161.47,AA,0.7125,170.32,WN,0.2550,131.02
2021,3,AUS,BUR,1242,142,150.36,WN,0.8806,147.82,WN,0.8806,147.82
2021,3,AUS,LAX,1242,1942,136.77,AA,0.3419,139.76,WN,0.1516,134.03
2021,3,AUS,LGB,1242,137,141.78,WN,0.9413,139.15,WN,0.9413,139.15
2021,3,AUS,ONT,1242,103,183.69,WN,0.4682,178.74,WN,0.4682,178.74
2021,3,AUS,SNA,1242,286,180.81,WN,0.6203,179.29,AA,0.3033,171.90
2021,3,AUS,TPA,928,392,158.63,WN,0.5982,153.94,WN,0.5982,153.94
2021,3,AVL,EWR,633,187,148.98,G4,0.5510,84.84,G4,0.5510,84.84
2021,3,AVL,HPN,633,4,277.73,AA,0.9091,271.04,AA,0.9091,271.04
2021,3,AVL,ISP,633,1,313.54,AA,1.0000,313.54,AA,1.0000,313.54
2021,3,AVL,JFK,633,8,288.44,AA,0.8077,278.78,AA,0.8077,278.78
2021,3,AVL,LGA,633,127,188.89,AA,0.6268,179.03,AA,0.6268,179.03
